E [keV] 	 mu/rho (tissue)    	 mu/rho (bone)      	 mu/rho (water) 
71.0  	 0.1905226553813536 	 0.2528411070822105 	 0.19179400781376016 
72.0  	 0.18949322320934575 	 0.24883693386407152 	 0.19077765969428911 
73.0  	 0.1884972116934833 	 0.24502807953070302 	 0.1897938478150977 
74.0  	 0.18753255836200006 	 0.24140180496939911 	 0.188840568941765 
75.0  	 0.18659734823026758 	 0.23794637872506552 	 0.18791596086709322 
76.0  	 0.18568980141805622 	 0.2346509840823648 	 0.1870182907847484 
77.0  	 0.18480826197677253 	 0.2315056358921662 	 0.18614594477930355 
78.0  	 0.18395118779209013 	 0.2285011060025 	 0.18529741831054244 
79.0  	 0.18311714144410313 	 0.2256288563007719 	 0.18447130758480698 
80.0  	 0.18230478192156196 	 0.22288097850009064 	 0.1836663017190992 
81.0  	 0.18151288550566164 	 0.22025009826412506 	 0.18288120722564674 
82.0  	 0.18074041917355502 	 0.21772921654261196 	 0.1821150305979755 
83.0  	 0.17998644098969602 	 0.21531181380206385 	 0.18136686815836361 
84.0  	 0.1792500658726182 	 0.21299184948994676 	 0.18063586894478906 
85.0  	 0.17853046146814028 	 0.2107637203679094 	 0.1799212310546002 
86.0  	 0.1778268443749783 	 0.2086222230068147 	 0.17922219828443292 
87.0  	 0.177138476688172 	 0.2065625199767645 	 0.17853805703893388 
88.0  	 0.17646466282957343 	 0.20458010932317228 	 0.17786813348371106 
89.0  	 0.17580474663798795 	 0.202670796969941 	 0.1772117909204457 
90.0  	 0.17515810869451848 	 0.20083067173415764 	 0.17656842736434405 
91.0  	 0.17452416386125116 	 0.19905608267434016 	 0.1759374733060864 
92.0  	 0.1739023590137191 	 0.19734361852700216 	 0.1753183896422033 
93.0  	 0.17329217094959895 	 0.1956900890148233 	 0.17471066575937605 
94.0  	 0.17269310445789168 	 0.19409250783460413 	 0.17411381775956342 
95.0  	 0.1721046905344226 	 0.19254807715495817 	 0.17352738681410856 
96.0  	 0.17152648473091014 	 0.19105417347275994 	 0.17295093763609987 
97.0  	 0.17095806562610402 	 0.18960833469409782 	 0.17238405706126017 
98.0  	 0.17039903340861193 	 0.18820824832018182 	 0.17182635272854052 
99.0  	 0.16984900856203103 	 0.1868517406316011 	 0.17127745185239945 
100.0  	 0.16930763064388912 	 0.18553676677572745 	 0.17073700007947357 
101.0  	 0.16877456651815936 	 0.18426139626483462 	 0.1702046712773358 
102.0  	 0.16824953606671836 	 0.18302379016825934 	 0.1696801975457497 
103.0  	 0.1677322808861952 	 0.1818222124415777 	 0.16916333313977278 
104.0  	 0.1672225539111652 	 0.18065502810728912 	 0.1686538426429778 
105.0  	 0.1667201187960598 	 0.17952069618255054 	 0.16815150043564214 
106.0  	 0.1662247493373482 	 0.17841776318106894 	 0.16765609019526873 
107.0  	 0.1657362289329364 	 0.1773448571364054 	 0.16716740442717534 
108.0  	 0.16525435007599718 	 0.1763006820993342 	 0.1666852440230698 
109.0  	 0.16477891388067725 	 0.17528401306667551 	 0.16620941784568874 
110.0  	 0.16430972963734883 	 0.17429369130327887 	 0.16573974233772976 
111.0  	 0.16384661439526435 	 0.17332862002261845 	 0.16527604115343986 
112.0  	 0.16338939257064983 	 0.17238776039483822 	 0.1648181448113499 
113.0  	 0.1629378955784345 	 0.17147012785409654 	 0.16436589036675572 
114.0  	 0.16249196148595932 	 0.17057478867976017 	 0.16391912110265527 
