 258  258  .1251675 
 259  259  .1249956 
 260  260  .1248246 
 261  261  .1246545 
 262  262  .1244853 
 263  263  .1243169 
 264  264  .1241494 
 265  265  .1239828 
 266  266  .123817 
 267  267  .1236521 
 268  268  .123488 
 269  269  .1233247 
 270  270  .1231622 
 271  271  .1230006 
 272  272  .1228398 
 273  273  .1226797 
 274  274  .1225205 
 275  275  .122362 
 276  276  .1222043 
 277  277  .1220474 
 278  278  .1218913 
 279  279  .1217359 
 280  280  .1215813 
 281  281  .1214274 
 282  282  .1212743 
 283  283  .1211219 
 284  284  .1209702 
 285  285  .1208192 
 286  286  .120669 
 287  287  .1205195 
 288  288  .1203706 
 289  289  .1202225 
 290  290  .1200751 
 291  291  .1199283 
 292  292  .1197823 
 293  293  .1196369 
 294  294  .1194922 
 295  295  .1193481 
 296  296  .1192047 
 297  297  .119062 
 298  298  .1189199 
 299  299  .1187784 
 300  300  .1186377 
 301  301  .118485 
 302  302  .118333 
 303  303  .1181817 
 304  304  .1180311 
 305  305  .1178812 
 306  306  .117732 
 307  307  .1175834 
 308  308  .1174356 
 309  309  .1172884 
 310  310  .1171418 
 311  311  .1169959 
 312  312  .1168506 
 313  313  .116706 
 314  314  .1165621 
 315  315  .1164187 
 316  316  .116276 
 317  317  .116134 
 318  318  .1159925 
 319  319  .1158517 
 320  320  .1157114 
 321  321  .1155718 
 322  322  .1154328 
 323  323  .1152944 
 324  324  .1151565 
 325  325  .1150193 
 326  326  .1148826 
 327  327  .1147465 
 328  328  .1146111 
 329  329  .1144761 
 330  330  .1143417 
 331  331  .1142079 
 332  332  .1140747 
 333  333  .113942 
 334  334  .1138099 
 335  335  .1136783 
 336  336  .1135473 
 337  337  .1134168 
 338  338  .1132868 
 339  339  .1131574 
 340  340  .1130285 
 341  341  .1129001 
 342  342  .1127722 
 343  343  .1126449 
 344  344  .112518 
 345  345  .1123917 
 346  346  .1122659 
 347  347  .1121406 
 348  348  .1120158 
 349  349  .1118915 
 350  350  .1117677 
 351  351  .1116444 
 352  352  .1115215 
 353  353  .1113991 
 354  354  .1112773 
 355  355  .1111559 
 356  356  .1110349 
 357  357  .1109145 
 358  358  .1107945 
 359  359  .110675 
 360  360  .1105559 
 361  361  .1104373 
 362  362  .1103191 
 363  363  .1102014 
 364  364  .1100842 
 365  365  .1099674 
 366  366  .109851 
 367  367  .1097351 
 368  368  .1096196 
 369  369  .1095045 
 370  370  .1093899 
 371  371  .1092757 
 372  372  .109162 
 373  373  .1090486 
 374  374  .1089357 
 375  375  .1088232 
 376  376  .1087111 
 377  377  .1085994 
 378  378  .1084881 
 379  379  .1083773 
 380  380  .1082668 
 381  381  .1081568 
 382  382  .1080471 
 383  383  .1079379 
 384  384  .107829 
 385  385  .1077206 
 386  386  .1076125 
 387  387  .1075048 
 388  388  .1073975 
 389  389  .1072906 
 390  390  .107184 
 391  391  .1070779 
 392  392  .1069721 
 393  393  .1068667 
 394  394  .1067616 
 395  395  .106657 
 396  396  .1065526 
 397  397  .1064487 
 398  398  .1063451 
 399  399  .1062419 
 400  400  .1061391 
